tree_id,neighbourhood_name,road_side,mean_bryo_cover,mean_lichen_cover,mean_species_count,log_bryo_cover,sqrt_lichen_cover
543,kits,NR,3.75,1.4166666666666667,1.0833333333333333,1.55814461804655,1.1902380714238083
2543,kits,WR,0,1.5,1,0,1.224744871391589
2574,kits,removal,NA,NA,NA,NA,NA
3465,kits,NR,0,0,0,0,0
3469,kits,NR,0,0.16666666666666666,0.08333333333333333,0,0.408248290463863
3479,kits,NR,0,0.5,0.25,0,0.7071067811865476
3480,kits,NR,0,1.1666666666666667,0.3333333333333333,0,1.0801234497346435
3481,kits,NR,0.5833333333333334,5.666666666666667,1.25,0.45953232937844024,2.3804761428476167
5494,kits,NR,16.166666666666668,3.5,2.5,2.842969519001581,1.8708286933869707
8074,kits,SR,5.833333333333333,4.083333333333333,1,1.9218125974762528,2.0207259421636903
8086,kits,NR,0.5,5.166666666666667,1.4166666666666667,0.4054651081081644,2.273030282830976
9335,renfrew,NR,21.583333333333332,2,2.25,3.1172121710917007,1.4142135623730951
9817,kits,NR,4.333333333333333,6.75,1.3333333333333333,1.6739764335716716,2.598076211353316
10851,kits,SR,5.583333333333333,4.333333333333333,1.5833333333333333,1.8845412026790211,2.0816659994661326
10956,kits,Removed,NA,NA,NA,NA,NA
13335,kits,NR,11.833333333333334,2.1666666666666665,1.4166666666666667,2.5520459526256287,1.4719601443879744
13340,kits,SR,1.3333333333333333,0.08333333333333333,0.3333333333333333,0.8472978603872034,0.28867513459481287
13387,kits,SR,19.75,0.08333333333333333,1.9166666666666667,3.0325462466767075,0.28867513459481287
13503,kits,SR,15,0.08333333333333333,1.3333333333333333,2.772588722239781,0.28867513459481287
13515,kits,NR,5.583333333333333,11,2.4166666666666665,1.8845412026790211,3.3166247903554
13519,kits,SR,5.083333333333333,3.5,1.3333333333333333,1.8055527913603908,1.8708286933869707
13521,kits,SR,6.833333333333333,8.083333333333334,2.0833333333333335,2.0583881324820035,2.8431203515386634
13524,kits,SR,1.4166666666666667,5.166666666666667,1.4166666666666667,0.8823891801984738,2.273030282830976
13681,kits,SR,10.5,1.4166666666666667,1.1666666666666667,2.4423470353692043,1.1902380714238083
13704,kits,SR,2.5,7,1,1.252762968495368,2.6457513110645907
14793,kits,NR,9.5,4.333333333333333,2.5,2.3513752571634776,2.0816659994661326
14801,kits,NR,1.6666666666666667,13.583333333333334,2.75,0.9808292530117263,3.685557397915997
15739,kits,SR,1,0,0.08333333333333333,0.6931471805599453,0
16208,kits,NR,4.75,2.9166666666666665,1.0833333333333333,1.749199854809259,1.707825127659933
16294,kits,NR,13.416666666666666,2.0833333333333335,1.8333333333333333,2.6683849447097785,1.4433756729740645
16295,kits,SR,13.333333333333334,3.75,1.3333333333333333,2.662587827025453,1.9364916731037085
16452,kits,NR,18.083333333333332,0.4166666666666667,1.5,2.948815353766239,0.6454972243679028
16454,kits,NR,15.916666666666666,1.8333333333333333,1.8333333333333333,2.828299329253787,1.35400640077266
16456,kits,SR,13.916666666666666,2.3333333333333335,1.9166666666666667,2.7024791560527546,1.5275252316519468
16706,kits,SR,0.8333333333333334,0,0.16666666666666666,0.6061358035703156,0
17164,renfrew,SR,2.4444444444444446,16.77777777777778,3.5555555555555554,1.236762627148927,4.096068575814836
17381,kits,SR,1.8333333333333333,11.083333333333334,1.5833333333333333,1.041453874828161,3.3291640592396967
17716,kits,SR,1.9166666666666667,4.333333333333333,1.1666666666666667,1.0704414117014134,2.0816659994661326
17764,kits,SR,0,4.333333333333333,0.4166666666666667,0,2.0816659994661326
21290,renfrew,SR,15.75,5.916666666666667,1.5833333333333333,2.8183982582710754,2.4324199198877374
21298,renfrew,SR,19.75,1,2.4166666666666665,3.0325462466767075,1
21340,renfrew,Removed,NA,NA,NA,NA,NA
22610,kits,SR,0,0.25,0.08333333333333333,0,0.5
22920,kits,SR,0.25,0,0.16666666666666666,0.22314355131420976,0
23272,kits,SR,0.08333333333333333,0,0.08333333333333333,0.08004270767353636,0
24592,renfrew,NR,0.16666666666666666,11.5,1.6666666666666667,0.15415067982725836,3.391164991562634
24977,kits,SR,1.1666666666666667,0.16666666666666666,0.25,0.7731898882334819,0.408248290463863
25310,kits,SR,1.5833333333333333,0,0.25,0.9490805546971458,0
25613,renfrew,WR,0.9166666666666666,18.833333333333332,3.0833333333333335,0.6505875661411493,4.339738855430512
26121,kits,SR,0.5833333333333334,0.75,0.25,0.45953232937844024,0.8660254037844386
26357,renfrew,NR,0,12.75,1.8333333333333333,0,3.570714214271425
27464,renfrew,Removed,NA,NA,NA,NA,NA
27538,renfrew,SR,5.916666666666667,12.916666666666666,3,1.9339339580085977,3.593976442141304
35066,kits,WR,0,8,1,0,2.8284271247461903
37015,renfrew,WR,15.916666666666666,4.083333333333333,1.75,2.828299329253787,2.0207259421636903
37829,renfrew,NR,2.3333333333333335,16.75,2.5,1.2039728043259361,4.092676385936225
38536,renfrew,SR,1.6666666666666667,2.8333333333333335,1.5,0.9808292530117263,1.6832508230603465
38537,renfrew,SR,0,3.1666666666666665,1.3333333333333333,0,1.7795130420052185
38577,renfrew,SR,4.555555555555555,5.888888888888889,1.6666666666666667,1.7147984280919266,2.4267032964268394
56630,kits,WR,0,0,0,0,0
56632,kits,WR,1.6666666666666667,4,0.7777777777777778,0.9808292530117263,2
56633,kits,WR,0.5,0.75,0.5,0.4054651081081644,0.8660254037844386
57985,kits,WR,2.6666666666666665,10.333333333333334,2,1.2992829841302609,3.2145502536643185
57989,kits,WR,2,8.5,1.5,1.0986122886681098,2.9154759474226504
61118,renfrew,ER,0,14.666666666666666,2,0,3.8297084310253524
