TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,HEIGHT_RANGE,DIAMETER,DATE_PLANTED,Geom,geo_point_2d,gen_spec,lat,lon,Road
62449,3525,W BROADWAY,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,3500,W BROADWAY,KITSILANO,ODD,5,50-60,11.5,,"{""coordinates"": [-123.18316400013174, 49.264402999094], ""type"": ""Point""}","49.264402999094, -123.18316400013174",ACER RUBRUM,49.264402999094,-123.18316400013174,Arterial
16454,3278,W 15TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3200,W 15TH AV,KITSILANO,EVEN,6,60-70,22.0,,"{""coordinates"": [-123.1776700001147, 49.258759998833504], ""type"": ""Point""}","49.258759998833504, -123.1776700001147",ACER PLATANOIDES,49.258759998833504,-123.1776700001147,Arterial
160594,2223,W 4TH AV,ACER,RUBRUM,,RED MAPLE,2200,W 4TH AV,KITSILANO,ODD,4,40-50,10.0,1993-11-01,"{""coordinates"": [-123.15615300037726, 49.26827199923135], ""type"": ""Point""}","49.26827199923135, -123.15615300037726",ACER RUBRUM,49.26827199923135,-123.15615300037726,Arterial
70210,1904,CORNWALL AV,ACER,RUBRUM,,RED MAPLE,1900,CORNWALL AV,KITSILANO,EVEN,4,40-50,18.4,,"{""coordinates"": [-123.14844799998984, 49.27239699862473], ""type"": ""Point""}","49.27239699862473, -123.14844799998984",ACER RUBRUM,49.27239699862473,-123.14844799998984,Arterial
169711,3639,W BROADWAY,ACER,FREEMANII   X,ARMSTRONG,ARMSTRONG RED MAPLE,3600,W BROADWAY,KITSILANO,ODD,3,30-40,14.0,,"{""coordinates"": [-123.18508000014883, 49.26443999879218], ""type"": ""Point""}","49.26443999879218, -123.18508000014883",ACER FREEMANII   X,49.26443999879218,-123.18508000014884,Arterial
62456,3575,W BROADWAY,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,3500,W BROADWAY,KITSILANO,ODD,5,50-60,15.0,,"{""coordinates"": [-123.18303799971952, 49.264402999076765], ""type"": ""Point""}","49.264402999076765, -123.18303799971952",ACER RUBRUM,49.264402999076765,-123.18303799971952,Arterial
118087,1424,WALNUT ST,ACER,SPECIES,,MAPLE SPECIES,1400,WALNUT ST,KITSILANO,EVEN,7,70-80,36.0,,"{""coordinates"": [-123.14890399977972, 49.27291399894044], ""type"": ""Point""}","49.27291399894044, -123.14890399977972",ACER SPECIES,49.27291399894044,-123.14890399977972,Arterial
62130,2219,W BROADWAY,ACER,SPECIES,,MAPLE SPECIES,2200,W BROADWAY,KITSILANO,ODD,5,50-60,10.5,,"{""coordinates"": [-123.15591600059285, 49.263966999342216], ""type"": ""Point""}","49.263966999342216, -123.15591600059285",ACER SPECIES,49.263966999342216,-123.15591600059284,Arterial
13335,2945,ARBUTUS ST,ACER,PLATANOIDES,,NORWAY MAPLE,2100,W 13TH AV,KITSILANO,EVEN,5,50-60,26.0,,"{""coordinates"": [-123.15326900002938, 49.26001899879992], ""type"": ""Point""}","49.26001899879992, -123.15326900002938",ACER PLATANOIDES,49.26001899879992,-123.15326900002938,Arterial
156731,2221,W BROADWAY,ACER,RUBRUM,,RED MAPLE,2200,W BROADWAY,KITSILANO,ODD,4,40-50,11.5,,"{""coordinates"": [-123.15602399977575, 49.2639669992751], ""type"": ""Point""}","49.2639669992751, -123.15602399977575",ACER RUBRUM,49.2639669992751,-123.15602399977575,Arterial
16456,3285,W 15TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3200,W 15TH AV,KITSILANO,ODD,7,70-80,31.0,,"{""coordinates"": [-123.17767000037692, 49.2588599986668], ""type"": ""Point""}","49.2588599986668, -123.17767000037692",ACER PLATANOIDES,49.2588599986668,-123.17767000037692,Arterial
70209,1904,CORNWALL AV,ACER,RUBRUM,,RED MAPLE,1900,CORNWALL AV,KITSILANO,EVEN,4,40-50,21.4,,"{""coordinates"": [-123.14825600020296, 49.27239699866899], ""type"": ""Point""}","49.27239699866899, -123.14825600020296",ACER RUBRUM,49.27239699866899,-123.14825600020296,Arterial
17764,3573,W 16TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3500,W 16TH AV,KITSILANO,ODD,7,70-80,32.0,,"{""coordinates"": [-123.18360000058777, 49.25804999924849], ""type"": ""Point""}","49.25804999924849, -123.18360000058777",ACER PLATANOIDES,49.25804999924849,-123.18360000058776,Arterial
134705,1943,CORNWALL AV,ACER,RUBRUM,,RED MAPLE,1900,CORNWALL AV,KITSILANO,ODD,4,40-50,15.0,,"{""coordinates"": [-123.14853899969238, 49.27255299867074], ""type"": ""Point""}","49.27255299867074, -123.14853899969238",ACER RUBRUM,49.27255299867074,-123.14853899969238,Arterial
62457,3575,W BROADWAY,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,3500,W BROADWAY,KITSILANO,ODD,5,50-60,17.0,,"{""coordinates"": [-123.18289100026071, 49.26439899871183], ""type"": ""Point""}","49.26439899871183, -123.18289100026071",ACER RUBRUM,49.26439899871183,-123.18289100026072,Arterial
2574,2300,W 3RD AV,ACER,PLATANOIDES,,NORWAY MAPLE,2300,W 3RD AV,KITSILANO,EVEN,3,30-40,14.5,,"{""coordinates"": [-123.15812999933318, 49.269031999159914], ""type"": ""Point""}","49.269031999159914, -123.15812999933318",ACER PLATANOIDES,49.26903199915992,-123.15812999933318,Residential
16208,2396,W 15TH AV,ACER,PSEUDOPLATANUS,,SYCAMORE MAPLE,2300,W 15TH AV,KITSILANO,EVEN,5,50-60,17.0,,"{""coordinates"": [-123.16004899961808, 49.25828299867776], ""type"": ""Point""}","49.25828299867776, -123.16004899961808",ACER PSEUDOPLATANUS,49.25828299867776,-123.16004899961808,Residential
262141,2125,YORK AV,ACER,RUBRUM,,RED MAPLE,2100,YORK AV,KITSILANO,ODD,5,50-60,25.0,,"{""coordinates"": [-123.15306600016011, 49.27174299907278], ""type"": ""Point""}","49.27174299907278, -123.15306600016011",ACER RUBRUM,49.27174299907278,-123.15306600016012,Residential
16294,2536,W 15TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,2500,W 15TH AV,KITSILANO,EVEN,6,60-70,28.0,,"{""coordinates"": [-123.1635240001912, 49.25833299897246], ""type"": ""Point""}","49.25833299897246, -123.1635240001912",ACER PLATANOIDES,49.25833299897246,-123.1635240001912,Residential
13681,3309,W 13TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3300,W 13TH AV,KITSILANO,ODD,5,50-60,32.0,,"{""coordinates"": [-123.17830999973653, 49.26066999889606], ""type"": ""Point""}","49.26066999889606, -123.17830999973653",ACER PLATANOIDES,49.26066999889606,-123.17830999973653,Residential
16452,3274,W 15TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3200,W 15TH AV,KITSILANO,EVEN,6,60-70,20.0,,"{""coordinates"": [-123.17749000022913, 49.258759999338416], ""type"": ""Point""}","49.258759999338416, -123.17749000022913",ACER PLATANOIDES,49.258759999338416,-123.17749000022911,Residential
118310,2049,WATERLOO ST,ACER,SACCHARINUM,,SILVER MAPLE,2000,COLLINGWOOD ST,KITSILANO,EVEN,6,60-70,33.0,,"{""coordinates"": [-123.18163099974026, 49.26781099891111], ""type"": ""Point""}","49.26781099891111, -123.18163099974026",ACER SACCHARINUM,49.26781099891111,-123.18163099974026,Residential
71200,2617,CYPRESS ST,ACER,PLATANOIDES,,NORWAY MAPLE,2600,CYPRESS ST,KITSILANO,ODD,3,30-40,17.0,,"{""coordinates"": [-123.14830499959984, 49.26238899883425], ""type"": ""Point""}","49.26238899883425, -123.14830499959984",ACER PLATANOIDES,49.26238899883425,-123.14830499959984,Residential
10956,3173,W 11TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3100,W 11TH AV,KITSILANO,ODD,4,40-50,12.5,,"{""coordinates"": [-123.17548999972838, 49.26243999864388], ""type"": ""Point""}","49.26243999864388, -123.17548999972838",ACER PLATANOIDES,49.26243999864388,-123.17548999972838,Residential
13387,2237,W 13TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,2200,W 13TH AV,KITSILANO,ODD,5,50-60,30.0,,"{""coordinates"": [-123.15639500031234, 49.260157999089344], ""type"": ""Point""}","49.260157999089344, -123.15639500031234",ACER PLATANOIDES,49.260157999089344,-123.15639500031234,Residential
13503,2679,W 13TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,2600,W 13TH AV,KITSILANO,ODD,7,70-80,26.5,,"{""coordinates"": [-123.16603799973593, 49.26048299946856], ""type"": ""Point""}","49.26048299946856, -123.16603799973593",ACER PLATANOIDES,49.26048299946856,-123.16603799973592,Residential
10851,2641,W 11TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,2600,W 11TH AV,KITSILANO,ODD,5,50-60,24.0,,"{""coordinates"": [-123.16566099941507, 49.2622889994595], ""type"": ""Point""}","49.2622889994595, -123.16566099941507",ACER PLATANOIDES,49.2622889994595,-123.16566099941508,Residential
